DATE,SHARE_CODE,ISSUER_NAME,INVESTOR_NAME,TOTAL_HOLDING_SHARES,PERCENTAGE,LOCAL_FOREIGN,INVESTOR_TYPE
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA Tbk,ADARO STRATEGIC INVESTMENTS,3.200.142.830,"41,10",L,CP
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA Tbk,ALAMTRI RESOURCES INDONESIA TBK PT,1.197.023.942,"15,37",L,CP
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA Tbk,GARIBALDI THOHIR,454.011.607,"5,83",L,ID
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA Tbk,SARATOGA INVESTAMA SEDAYA TBK PT,340.897.429,"4,38",L,CP
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA Tbk,EDWIN SOERYADJAYA,273.955.636,"3,52",L,ID
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA Tbk,IR. T. PERMADI RACHMAT,254.992.918,"3,27",L,ID
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA Tbk,SANDIAGA SALAHUDDIN UNO,159.027.175,"2,04",L,ID
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA Tbk,PERSADA CAPITAL INVESTAMA,119.887.170,"1,54",L,CP
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA Tbk,FTAG INVESTMENT BANK LTD,100.722.000,"1,29",A,IB
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA Tbk,PT TRINUGRAHA THOHIR,89.926.520,"1,15",L,CP
27-Feb-2026,AALI,ASTRA AGRO LESTARI Tbk,PT ASTRA INTERNATIONAL TBK,1.533.682.440,"79,68",L,CP
27-Feb-2026,AALI,ASTRA AGRO LESTARI Tbk,DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA,41.979.300,"2,18",L,IS
27-Feb-2026,ABBA,MAHAKA MEDIA Tbk,PT. Beyond Media,1.592.831.618,"40,47",L,CP
27-Feb-2026,ABBA,MAHAKA MEDIA Tbk,SOLIC KREASI BARU PT,542.042.122,"13,77",L,CP
